ID,Business,Street Address,City,State,ZIP,Latitude,Longitude,Type of Installation,Georeference
922,The Macchia Group Inc.,243-02 South Conduit,Rosedale,NY,11422,40.665026,-73.735467,Transfer Switch Only,POINT (-73.735467 40.665026)
542,a r j gas n mart inc,4 Colonial Springs Rd,Wheatley Heights,NY,11798,40.756551,-73.374505,Transfer Switch Only,POINT (-73.374505 40.756551)
658,"Cumberland Farms, Inc.",82-48 Woodhaven Boulevard,Queens,NY,11385,40.702999,-73.855689,Transfer Switch Only,POINT (-73.855689 40.702999)
766,"East River Petroleum Realty, Llc",177-90 South Conduit Avenue,Queens,NY,11434,40.66649,-73.7677,Transfer Switch Only,POINT (-73.7677 40.66649)
399,Bolla Operating LI Corp,600 Old Country Rd,Hicksville,NY,11801,40.757175,-73.549179,Transfer Switch Only,POINT (-73.549179 40.757175)
559,Bill Wolf Petroleum Maintenance LLC,117 Morningside Avenue,New York,NY,10027,40.810803,-73.954226,Transfer Switch Only,POINT (-73.954226 40.810803)
675,"Cumberland Farms, Inc.",2441 Richmond Avenue,Staten Island,NY,10314,40.58829,-74.167379,Transfer Switch Only,POINT (-74.167379 40.58829)
531,North Broadway Automotive Services Inc,546 North Broadway,White Plains,NY,10603,41.052203,-73.769834,Transfer Switch Only,POINT (-73.769834 41.052203)
954,ARJ FUEL&OIL INC.,1755 Straight Path,Wyandanch,NY,11798,40.765783,-73.353036,Transfer Switch and Generator,POINT (-73.353036 40.765783)
774,A B Petro Inc,221 W Main St,Bay Shore,NY,11706,40.717715,-73.255573,Transfer Switch Only,POINT (-73.255573 40.717715)
795,"B & L GAS STATION ENTERPRISES, INC.",4001 4th Avenue,Brooklyn,NY,11232,40.651692,-74.006483,Transfer Switch Only,POINT (-74.006483 40.651692)
587,"Cumberland Farms, Inc.",539 Fort Salonga Road,Northport,NY,11768,40.893841,-73.33616,Transfer Switch Only,POINT (-73.33616 40.893841)
663,"Cumberland Farms, Inc.",2111 Deer Park Avenue,Deer Park,NY,11729,40.773825,-73.333929,Transfer Switch Only,POINT (-73.333929 40.773825)
719,"7-Eleven, Inc.",403 Broadway,Amityville,NY,11701,40.685789,-73.41818,Transfer Switch Only,POINT (-73.41818 40.685789)
889,174-02 Horace Harding Expwy Operating Corp,174-02 Horace Harding Expressway,Queens,NY,11365,40.73833,-73.794569,Transfer Switch Only,POINT (-73.794569 40.73833)
927,Gaseteria Oil Corp,2620 86th Street,Brooklyn,NY,11223,40.596186,-73.984818,Transfer Switch Only,POINT (-73.984818 40.596186)
907,"Certified Heating Oils, Inc.",995 Manor Rd,Staten Island,NY,10314,40.602086,-74.120269,Transfer Switch Only,POINT (-74.120269 40.602086)
299,Metro NY Dealer Stations LLC,2472 Knapp St,Brooklyn,NY,11235,40.592811,-73.932946,Transfer Switch Only,POINT (-73.932946 40.592811)
413,Bolla EM REalty LLC,619 Coney Island Av,Brooklyn,NY,11218,40.642012,-73.96934,Transfer Switch Only,POINT (-73.96934 40.642012)
966,Massapequa Park Service Center Incorporated,4850 Sunrise Hwy,Massapequa Park,NY,11762,40.677068,-73.45598,Transfer Switch and Generator,POINT (-73.45598 40.677068)
